# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,country,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120503,NL,2,75,1,185,73,0,0,0
20120503,NC,0,2,0,2,2,0,0,0
20120503,NA,0,0,0,1,0,0,0,0
20120503,MY,0,24,0,86,24,0,0,0
20120503,MX,2,48,2,113,47,0,0,0
20120503,MV,0,0,0,2,0,0,0,0
20120503,MU,0,2,0,2,2,0,0,0
20120503,MT,0,1,0,5,1,0,0,0
20120503,MQ,0,0,0,1,0,0,0,0
20120503,MO,0,3,0,3,3,0,0,0
20120503,MN,0,3,0,4,3,0,0,0
20120503,MK,0,1,0,6,1,0,0,0
20120503,MG,0,0,0,1,0,0,0,0
20120503,ME,0,1,0,3,1,0,0,0
20120503,MD,0,2,0,5,2,0,0,0
20120503,MA,0,6,0,20,6,0,0,0
20120503,LY,0,0,0,2,0,0,0,0
20120503,LV,0,4,0,18,4,0,0,0
20120503,LU,0,2,0,3,2,0,0,0
20120503,LT,0,7,0,14,7,0,0,0
20120503,LK,0,1,0,2,1,0,0,0
20120503,LB,0,6,0,16,6,0,0,0
20120503,KZ,0,3,0,7,3,0,0,0
20120503,KW,0,9,0,20,9,0,0,0
20120503,KR,0,39,0,124,38,0,0,0
20120503,KE,0,0,0,1,0,0,0,0
20120503,JP,0,65,0,116,61,0,0,0
20120503,JO,0,3,0,10,3,0,0,0
20120503,JM,0,0,0,1,0,0,0,0
20120503,JE,0,1,0,1,1,0,0,0
20120503,IT,3,162,3,394,153,0,0,0
20120503,IS,0,5,0,7,4,0,0,0
20120503,IR,0,0,0,1,0,0,0,0
20120503,IQ,1,2,1,6,2,0,0,0
20120503,IN,2,73,2,206,72,1,1,0
20120503,IM,0,0,0,1,0,0,0,0
20120503,IL,1,42,0,75,40,0,0,0
20120503,IE,0,26,0,56,26,0,0,0
20120503,ID,0,26,0,70,25,0,0,0
20120503,HU,0,27,0,77,27,0,0,0
20120503,HR,0,9,0,26,9,0,0,0
20120503,HK,0,18,0,38,18,0,0,0
20120503,GU,0,1,0,1,1,0,0,0
20120503,GT,0,1,0,2,1,0,0,0
20120503,GR,1,14,1,50,14,0,0,0
20120503,GP,0,0,0,1,0,0,0,0
20120503,GL,0,0,0,1,0,0,0,0
20120503,GH,0,0,0,1,0,0,0,0
20120503,GE,0,1,0,5,1,0,0,0
20120503,GB,5,317,5,767,308,0,0,0
20120503,FR,0,309,0,684,292,2,2,0
20120503,FO,0,1,0,1,1,0,0,0
20120503,FI,0,28,0,53,26,0,0,0
20120503,ET,0,1,0,1,1,0,0,0
20120503,ES,1,167,1,358,162,2,2,0
20120503,EG,0,12,0,29,12,0,0,0
20120503,EE,0,3,0,10,3,0,0,0
20120503,EC,0,5,0,9,5,0,0,0
20120503,DZ,0,4,0,7,3,0,0,0
20120503,DO,0,2,0,4,2,0,0,0
20120503,DM,0,0,0,1,0,0,0,0
20120503,DK,0,29,0,55,27,0,0,0
20120503,DE,5,241,4,552,236,3,3,0
20120503,CZ,1,21,1,57,20,0,0,0
20120503,CY,0,6,0,12,6,0,0,0
20120503,CR,0,4,0,12,4,0,0,0
20120503,CO,0,15,0,53,15,0,0,0
20120503,CN,0,45,0,93,43,0,0,0
20120503,CL,0,12,0,31,12,0,0,0
20120503,CH,0,51,0,96,49,0,0,0
20120503,CA,2,168,2,374,162,2,2,0
20120503,BY,0,1,0,6,1,0,0,0
20120503,BR,2,141,2,377,138,3,3,0
20120503,BO,0,3,0,5,3,0,0,0
20120503,BN,0,4,0,8,3,0,0,0
20120503,BH,0,2,0,3,2,0,0,0
20120503,BG,0,3,0,16,3,0,0,0
20120503,BE,0,29,0,80,27,0,0,0
20120503,BD,0,1,0,1,1,0,0,0
20120503,BA,1,1,0,3,1,1,0,0
20120503,AZ,0,1,0,7,1,0,0,0
20120503,AU,3,103,1,212,96,2,2,0
20120503,AT,0,32,0,95,31,0,0,0
20120503,AR,1,21,0,59,20,0,0,0
20120503,AM,0,1,0,4,1,0,0,0
20120503,AE,0,7,0,17,7,0,0,0
20120502,unknown,0,0,0,12,0,0,0,0
20120502,ZZ,0,3,0,5,3,0,0,0
20120502,ZW,0,0,0,1,0,0,0,0
20120502,ZM,0,0,0,1,0,0,0,0
20120502,ZA,0,42,0,93,41,0,0,0
20120502,VN,0,3,0,11,3,0,0,0
20120502,VE,0,11,0,19,11,0,0,0
20120502,UZ,0,2,0,3,2,0,0,0
20120502,UY,0,1,0,4,1,0,0,0
20120502,US,38,1814,35,4850,1741,19,18,0
20120502,UA,1,24,1,65,23,0,0,0
20120502,TW,1,30,1,59,29,0,0,0
20120502,TT,0,1,0,1,1,0,0,0
20120502,TR,1,43,0,101,40,0,0,0
20120502,TN,0,4,0,8,4,0,0,0
20120502,TH,0,24,0,42,24,1,1,0
20120502,SZ,0,0,0,1,0,0,0,0
20120502,SV,0,0,0,2,0,0,0,0
20120502,SR,0,0,0,3,0,0,0,0
20120502,SK,0,15,0,36,15,0,0,0
20120502,SI,0,8,0,24,8,0,0,0
20120502,SG,3,26,3,103,26,1,1,0
20120502,SE,1,72,1,161,70,2,2,0
20120502,SA,1,26,1,77,26,0,0,0
20120502,RU,2,99,2,288,98,3,3,0
20120502,RS,0,13,0,34,13,0,0,0
20120502,RO,0,25,0,91,23,0,0,0
20120502,RE,0,3,0,6,3,0,0,0
20120502,QA,0,4,0,7,4,0,0,0
20120502,PY,0,2,0,5,2,0,0,0
20120502,PT,0,30,0,55,30,0,0,0
20120502,PR,0,9,0,16,8,0,0,0
20120502,PL,0,54,0,171,52,1,1,0
20120502,PK,0,4,0,8,4,0,0,0
20120502,PH,3,21,3,67,21,0,0,0
20120502,PF,0,0,0,1,0,0,0,0
20120502,PE,0,12,0,16,12,0,0,0
20120502,PA,0,5,0,9,5,0,0,0
20120502,OM,0,4,0,6,3,0,0,0
20120502,NZ,0,26,0,51,25,0,0,0
20120502,NP,0,1,0,3,1,0,0,0
20120502,NO,0,37,0,72,36,0,0,0
20120502,NL,3,75,2,185,73,1,1,0
20120502,NC,0,1,0,1,1,0,0,0
20120502,NA,0,0,0,1,0,0,0,0
20120502,MY,0,24,0,86,24,0,0,0
20120502,MX,1,46,0,110,45,1,1,0
20120502,MV,0,0,0,2,0,0,0,0
20120502,MU,0,2,0,2,2,0,0,0
20120502,MT,0,1,0,5,1,0,0,0
20120502,MQ,0,0,0,1,0,0,0,0
20120502,MO,0,4,0,4,4,0,0,0
20120502,MN,0,3,0,4,3,0,0,0
20120502,MK,0,1,0,6,1,0,0,0
20120502,MG,0,0,0,1,0,0,0,0
20120502,ME,0,1,0,3,1,0,0,0
20120502,MD,1,2,1,5,2,0,0,0
20120502,MA,0,6,0,20,6,0,0,0
20120502,LY,0,0,0,2,0,0,0,0
20120502,LV,0,4,0,18,4,0,0,0
20120502,LU,0,2,0,3,2,0,0,0
20120502,LT,0,7,0,14,7,0,0,0
20120502,LK,0,1,0,2,1,0,0,0
20120502,LB,1,6,1,16,6,0,0,0
20120502,KZ,0,3,0,7,3,0,0,0
20120502,KW,1,9,1,20,9,0,0,0
20120502,KR,1,38,1,123,37,1,1,0
20120502,KE,0,0,0,1,0,0,0,0
20120502,JP,3,65,2,116,61,1,1,0
20120502,JO,0,3,0,10,3,0,0,0
20120502,JM,0,0,0,1,0,0,0,0
20120502,JE,0,1,0,1,1,0,0,0
20120502,IT,4,158,4,389,149,1,1,0
20120502,IS,0,5,0,7,4,0,0,0
20120502,IR,0,0,0,1,0,0,0,0
20120502,IQ,0,1,0,5,1,0,0,0
20120502,IN,0,72,0,204,71,0,0,0
20120502,IM,0,0,0,1,0,0,0,0
20120502,IL,0,40,0,74,39,0,0,0
20120502,IE,0,25,0,55,25,0,0,0
20120502,ID,0,26,0,70,25,1,1,0
20120502,HU,0,27,0,77,27,0,0,0
20120502,HR,0,9,0,25,9,0,0,0
20120502,HK,0,16,0,36,16,0,0,0
20120502,GU,0,1,0,1,1,0,0,0
20120502,GT,0,1,0,2,1,0,0,0
20120502,GR,0,14,0,49,14,0,0,0
20120502,GP,0,0,0,1,0,0,0,0
20120502,GL,0,0,0,1,0,0,0,0
20120502,GH,0,0,0,1,0,0,0,0
20120502,GE,0,1,0,5,1,0,0,0
20120502,GB,2,310,0,761,301,1,1,0
20120502,FR,3,312,3,684,295,1,1,0
20120502,FO,0,1,0,1,1,0,0,0
20120502,FI,0,28,0,53,26,1,1,0
20120502,ET,0,1,0,1,1,0,0,0
20120502,ES,0,168,0,357,163,0,0,0
20120502,EG,1,12,1,29,12,0,0,0
20120502,EE,0,3,0,9,3,0,0,0
20120502,EC,0,5,0,9,5,0,0,0
20120502,DZ,0,4,0,7,3,0,0,0
20120502,DO,0,2,0,4,2,0,0,0
20120502,DM,0,0,0,1,0,0,0,0
20120502,DK,0,29,0,55,27,0,0,0
20120502,DE,4,239,3,549,234,1,0,0
20120502,CZ,0,20,0,56,19,0,0,0
20120502,CY,0,6,0,12,6,0,0,0
20120502,CR,0,4,0,12,4,0,0,0
20120502,CO,0,16,0,53,16,0,0,0
20120502,CN,0,45,0,93,43,0,0,0
20120502,CL,1,12,1,31,12,0,0,0
20120502,CH,1,51,1,95,49,0,0,0
20120502,CA,2,167,2,373,161,1,1,0
20120502,BY,0,0,0,6,0,0,0,0
20120502,BR,4,142,3,375,139,1,0,0
