# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120503,fr_IT,0,1,0,1,1,0,0,0
20120503,fr_FR,0,337,0,762,320,2,2,0
20120503,fr_CH,0,17,0,29,17,0,0,0
20120503,fr_CA,0,8,0,19,8,0,0,0
20120503,fr_BE,0,3,0,10,2,0,0,0
20120503,fi_FI,0,15,0,35,15,0,0,0
20120503,et_EE,0,3,0,5,3,0,0,0
20120503,es_VE,0,0,0,2,0,0,0,0
20120503,es_US,2,75,1,164,74,0,0,0
20120503,es_PE,0,0,0,1,0,0,0,0
20120503,es_MX,0,9,0,34,9,0,0,0
20120503,es_GT,0,0,0,1,0,0,0,0
20120503,es_ES,2,201,2,425,195,2,2,0
20120503,es_DE,0,1,0,1,1,0,0,0
20120503,es_CR,0,0,0,4,0,0,0,0
20120503,es_CO,0,0,0,5,0,0,0,0
20120503,es_CL,0,1,0,9,1,0,0,0
20120503,es_BO,0,0,0,1,0,0,0,0
20120503,es_AR,0,3,0,10,3,0,0,0
20120503,es,0,0,0,1,0,0,0,0
20120503,en_ZA,0,9,0,23,9,0,0,0
20120503,en_US,31,2212,27,5707,2123,25,22,0
20120503,en_UA,0,0,0,1,0,0,0,0
20120503,en_TW,0,0,0,2,0,0,0,0
20120503,en_TR,0,2,0,2,2,0,0,0
20120503,en_TH,0,0,0,2,0,0,0,0
20120503,en_SK,0,1,0,2,1,0,0,0
20120503,en_SG,0,8,0,36,8,0,0,0
20120503,en_SE,0,3,0,4,3,0,0,0
20120503,en_RU,0,0,0,1,0,0,0,0
20120503,en_RO,0,0,0,5,0,0,0,0
20120503,en_QA,0,0,0,1,0,0,0,0
20120503,en_PL,0,2,0,2,2,0,0,0
20120503,en_PH,0,12,0,30,12,0,0,0
20120503,en_NZ,0,13,0,29,13,0,0,0
20120503,en_NO,0,1,0,2,1,0,0,0
20120503,en_NL,0,3,0,7,3,0,0,0
20120503,en_MY,0,2,0,6,2,0,0,0
20120503,en_LU,0,1,0,2,1,0,0,0
20120503,en_LT,0,1,0,3,1,0,0,0
20120503,en_LB,0,1,0,1,1,0,0,0
20120503,en_KW,0,0,0,1,0,0,0,0
20120503,en_JP,0,2,0,3,2,0,0,0
20120503,en_IT,0,0,0,2,0,0,0,0
20120503,en_IN,0,17,0,58,17,0,0,0
20120503,en_IE,0,11,0,34,11,0,0,0
20120503,en_ID,0,0,0,1,0,0,0,0
20120503,en_HU,0,0,0,1,0,0,0,0
20120503,en_HK,0,4,0,6,4,0,0,0
20120503,en_GR,0,0,0,3,0,0,0,0
20120503,en_GB,10,552,9,1335,533,2,2,0
20120503,en_FR,0,0,0,1,0,0,0,0
20120503,en_ES,0,0,0,3,0,0,0,0
20120503,en_EG,0,0,0,1,0,0,0,0
20120503,en_DK,0,3,0,3,3,0,0,0
20120503,en_DE,0,0,0,5,0,0,0,0
20120503,en_CZ,0,2,0,3,2,0,0,0
20120503,en_CS,0,0,0,2,0,0,0,0
20120503,en_CH,0,2,0,2,2,0,0,0
20120503,en_CA,2,98,2,233,94,0,0,0
20120503,en_AU,3,71,2,160,66,3,3,0
20120503,en_AM,0,0,0,1,0,0,0,0
20120503,en_AE,0,1,0,2,1,0,0,0
20120503,en,1,4,1,10,4,0,0,0
20120503,el_GR,0,12,0,40,12,0,0,0
20120503,de_GB,0,0,0,1,0,0,0,0
20120503,de_DE,5,249,4,564,245,1,1,0
20120503,de_CH,0,15,0,32,13,0,0,0
20120503,de_AT,0,19,0,48,18,0,0,0
20120503,de,0,0,0,2,0,0,0,0
20120503,da_DK,0,22,0,50,20,0,0,0
20120503,cs_CZ,0,18,0,54,17,0,0,0
20120503,ca_ES,0,1,0,3,1,0,0,0
20120503,bg_BG,0,1,0,5,1,0,0,0
