# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,epicmtd,0,1,0,1,1,0,0,0
20120505,envt2,0,0,0,2,0,0,0,0
20120505,endeavoru,0,8,0,10,6,0,0,0
20120505,encore,1,11,1,26,9,1,1,0
20120505,ef65l,0,1,0,1,1,0,0,0
20120505,Pantech EF35L,0,1,0,2,1,0,0,0
20120505,Pantech EF34K,0,1,0,3,1,0,0,0
20120505,Pantech EF33S,0,1,0,4,1,0,0,0
20120505,ef32k,0,1,0,1,1,0,0,0
20120505,ef30s,0,1,0,1,1,0,0,0
20120505,Pantech Vega X,0,1,0,3,1,0,0,0
20120505,Pantech Mirach,0,0,0,1,0,0,0,0
20120505,edison,0,5,0,24,4,0,0,0
20120505,edenTABET-701,0,1,0,1,1,0,0,0
20120505,LG myTouch E739,0,7,0,15,7,1,1,0
20120505,Enspert Identity Tab E201,0,4,0,9,4,0,0,0
20120505,e1109_v73_gq1002_ctp,0,1,0,1,1,0,0,0
20120505,HTC myTouch 4G Slide,0,6,0,17,6,0,0,0
20120505,Motorola Droid X2,0,38,0,79,36,0,0,0
20120505,Samsung Nexus S,0,7,0,23,7,0,0,0
20120505,Samsung Nexus S,0,35,0,94,32,0,0,0
20120505,crane-n708h7,0,0,0,1,0,0,0,0
20120505,crane-n707h6,0,0,0,1,0,0,0,0
20120505,crane-m802h6,0,1,0,1,1,0,0,0
20120505,crane-h5,0,2,0,3,2,0,0,0
20120505,crane-evb-v13,0,4,0,6,4,0,0,0
20120505,crane-evb,0,18,0,23,17,0,0,0
20120505,crane-common,0,1,0,1,1,0,0,0
20120505,crane-bc1003,0,0,0,1,0,0,0,0
20120505,crane-aino-aurora,0,0,0,1,0,0,0,0
20120505,crane-aino,0,0,0,4,0,0,0,0
20120505,crane-a710,0,3,0,4,3,0,0,0
20120505,crane-Novo704FC_E2-SC3013,0,2,0,3,2,0,0,0
20120505,crane-Novo704FC_A3-SC3013,0,0,0,1,0,0,0,0
20120505,crane-Novo704FC_A1-SC3007,0,0,0,2,0,0,0,0
